team,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,team_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,date,won
MIL,240,35,89,0.393,14,42,0.333,24,32,0.75,18,34,52,19,13,11,17,20,108,,POR,240,37,91,0.407,13,32,0.406,15,20,0.75,11,29,40,21,15,4,17,26,102,,2023-11-26,1.0
ATL,240,36,88,0.409,19,53,0.358,12,19,0.632,11,32,43,15,5,4,15,17,103,,BOS,240,42,95,0.442,13,47,0.277,16,20,0.8,18,40,58,24,9,3,12,19,113,,2023-11-26,0.0
BOS,240,42,95,0.442,13,47,0.277,16,20,0.8,18,40,58,24,9,3,12,19,113,,ATL,240,36,88,0.409,19,53,0.358,12,19,0.632,11,32,43,15,5,4,15,17,103,,2023-11-26,1.0
MIN,240,43,81,0.531,15,34,0.441,18,23,0.783,6,36,42,30,5,5,14,26,119,,MEM,240,34,88,0.386,10,37,0.27,19,27,0.704,11,24,35,24,4,4,13,18,97,,2023-11-26,1.0
MEM,240,34,88,0.386,10,37,0.27,19,27,0.704,11,24,35,24,4,4,13,18,97,,MIN,240,43,81,0.531,15,34,0.441,18,23,0.783,6,36,42,30,5,5,14,26,119,,2023-11-26,0.0
PHO,240,42,91,0.462,16,38,0.421,16,21,0.762,18,29,47,27,4,11,11,25,116,,NYK,240,39,86,0.453,12,29,0.414,23,32,0.719,13,25,38,18,7,5,6,19,113,,2023-11-26,1.0
NYK,240,39,86,0.453,12,29,0.414,23,32,0.719,13,25,38,18,7,5,6,19,113,,PHO,240,42,91,0.462,16,38,0.421,16,21,0.762,18,29,47,27,4,11,11,25,116,,2023-11-26,0.0
CHO,240,44,83,0.53,13,30,0.433,16,25,0.64,5,31,36,27,6,7,18,26,117,,ORL,240,47,87,0.54,10,27,0.37,26,33,0.788,7,37,44,33,10,3,14,26,130,,2023-11-26,0.0
ORL,240,47,87,0.54,10,27,0.37,26,33,0.788,7,37,44,33,10,3,14,26,130,,CHO,240,44,83,0.53,13,30,0.433,16,25,0.64,5,31,36,27,6,7,18,26,117,,2023-11-26,1.0
CHI,240,40,83,0.482,12,32,0.375,17,22,0.773,10,30,40,21,3,2,11,18,109,,BRK,240,41,83,0.494,25,53,0.472,11,15,0.733,8,31,39,29,7,2,9,19,118,,2023-11-26,0.0
BRK,240,41,83,0.494,25,53,0.472,11,15,0.733,8,31,39,29,7,2,9,19,118,,CHI,240,40,83,0.482,12,32,0.375,17,22,0.773,10,30,40,21,3,2,11,18,109,,2023-11-26,1.0
TOR,240,37,89,0.416,8,32,0.25,20,29,0.69,17,33,50,17,9,3,12,11,102,,CLE,240,45,97,0.464,10,31,0.323,5,6,0.833,12,37,49,29,2,5,14,18,105,,2023-11-26,0.0
CLE,240,45,97,0.464,10,31,0.323,5,6,0.833,12,37,49,29,2,5,14,18,105,,TOR,240,37,89,0.416,8,32,0.25,20,29,0.69,17,33,50,17,9,3,12,11,102,,2023-11-26,1.0
SAS,240,42,93,0.452,14,37,0.378,22,26,0.846,10,25,35,34,10,6,15,22,120,,DEN,240,50,89,0.562,12,28,0.429,20,25,0.8,11,34,45,38,8,3,19,25,132,,2023-11-26,0.0
DEN,240,50,89,0.562,12,28,0.429,20,25,0.8,11,34,45,38,8,3,19,25,132,,SAS,240,42,93,0.452,14,37,0.378,22,26,0.846,10,25,35,34,10,6,15,22,120,,2023-11-26,1.0
WAS,240,45,89,0.506,10,29,0.345,26,28,0.929,6,40,46,29,8,6,15,19,126,,DET,240,43,102,0.422,8,38,0.211,13,19,0.684,18,31,49,29,7,11,16,22,107,,2023-11-27,1.0
DET,240,43,102,0.422,8,38,0.211,13,19,0.684,18,31,49,29,7,11,16,22,107,,WAS,240,45,89,0.506,10,29,0.345,26,28,0.929,6,40,46,29,8,6,15,19,126,,2023-11-27,0.0
POR,240,40,85,0.471,9,18,0.5,25,31,0.806,9,29,38,20,6,4,16,21,114,,IND,240,42,88,0.477,8,33,0.242,18,24,0.75,10,32,42,26,10,6,20,24,110,,2023-11-27,1.0
IND,240,42,88,0.477,8,33,0.242,18,24,0.75,10,32,42,26,10,6,20,24,110,,POR,240,40,85,0.471,9,18,0.5,25,31,0.806,9,29,38,20,6,4,16,21,114,,2023-11-27,0.0
LAL,240,39,83,0.47,7,28,0.25,9,13,0.692,6,26,32,23,3,4,17,18,94,,PHI,240,47,93,0.505,22,46,0.478,22,26,0.846,15,33,48,33,11,2,5,17,138,,2023-11-27,0.0
PHI,240,47,93,0.505,22,46,0.478,22,26,0.846,15,33,48,33,11,2,5,17,138,,LAL,240,39,83,0.47,7,28,0.25,9,13,0.692,6,26,32,23,3,4,17,18,94,,2023-11-27,1.0
NOP,240,44,88,0.5,7,22,0.318,17,25,0.68,11,37,48,27,5,1,8,25,112,,UTA,240,37,88,0.42,17,48,0.354,23,28,0.821,9,34,43,31,6,4,10,23,114,,2023-11-27,0.0
UTA,240,37,88,0.42,17,48,0.354,23,28,0.821,9,34,43,31,6,4,10,23,114,,NOP,240,44,88,0.5,7,22,0.318,17,25,0.68,11,37,48,27,5,1,8,25,112,,2023-11-27,1.0
DEN,240,44,92,0.478,10,22,0.455,15,28,0.536,18,34,52,28,8,6,11,22,113,,LAC,240,35,85,0.412,6,20,0.3,28,34,0.824,16,33,49,18,6,9,13,23,104,,2023-11-27,1.0
LAC,240,35,85,0.412,6,20,0.3,28,34,0.824,16,33,49,18,6,9,13,23,104,,DEN,240,44,92,0.478,10,22,0.455,15,28,0.536,18,34,52,28,8,6,11,22,113,,2023-11-27,0.0
CHI,240,39,90,0.433,9,28,0.321,10,18,0.556,9,28,37,25,11,7,8,13,97,,BOS,240,47,90,0.522,21,49,0.429,9,12,0.75,11,41,52,36,6,9,16,18,124,,2023-11-28,0.0
BOS,240,47,90,0.522,21,49,0.429,9,12,0.75,11,41,52,36,6,9,16,18,124,,CHI,240,39,90,0.433,9,28,0.321,10,18,0.556,9,28,37,25,11,7,8,13,97,,2023-11-28,1.0
TOR,240,39,101,0.386,13,36,0.361,12,19,0.632,15,31,46,27,11,3,7,21,103,,BRK,240,40,89,0.449,13,38,0.342,22,26,0.846,13,46,59,26,7,8,15,17,115,,2023-11-28,0.0
BRK,240,40,89,0.449,13,38,0.342,22,26,0.846,13,46,59,26,7,8,15,17,115,,TOR,240,39,101,0.386,13,36,0.361,12,19,0.632,15,31,46,27,11,3,7,21,103,,2023-11-28,1.0
ATL,240,35,101,0.347,13,44,0.295,22,24,0.917,14,30,44,21,9,3,10,16,105,,CLE,240,50,93,0.538,13,36,0.361,15,17,0.882,12,43,55,27,8,12,16,20,128,,2023-11-28,0.0
CLE,240,50,93,0.538,13,36,0.361,15,17,0.882,12,43,55,27,8,12,16,20,128,,ATL,240,35,101,0.347,13,44,0.295,22,24,0.917,14,30,44,21,9,3,10,16,105,,2023-11-28,1.0
MIL,240,47,88,0.534,13,35,0.371,24,27,0.889,8,37,45,26,3,4,9,21,131,,MIA,240,48,94,0.511,14,30,0.467,14,21,0.667,8,27,35,32,3,5,6,22,124,,2023-11-28,1.0
MIA,240,48,94,0.511,14,30,0.467,14,21,0.667,8,27,35,32,3,5,6,22,124,,MIL,240,47,88,0.534,13,35,0.371,24,27,0.889,8,37,45,26,3,4,9,21,131,,2023-11-28,0.0
CHO,240,37,89,0.416,13,31,0.419,4,7,0.571,13,28,41,21,8,2,17,14,91,,NYK,240,41,88,0.466,15,38,0.395,18,20,0.9,15,39,54,21,10,7,16,12,115,,2023-11-28,0.0
NYK,240,41,88,0.466,15,38,0.395,18,20,0.9,15,39,54,21,10,7,16,12,115,,CHO,240,37,89,0.416,13,31,0.419,4,7,0.571,13,28,41,21,8,2,17,14,91,,2023-11-28,1.0
OKC,240,37,90,0.411,11,30,0.367,18,23,0.783,9,27,36,22,8,4,8,23,103,,MIN,240,33,78,0.423,14,33,0.424,26,32,0.813,10,41,51,18,3,9,19,17,106,,2023-11-28,0.0
MIN,240,33,78,0.423,14,33,0.424,26,32,0.813,10,41,51,18,3,9,19,17,106,,OKC,240,37,90,0.411,11,30,0.367,18,23,0.783,9,27,36,22,8,4,8,23,103,,2023-11-28,1.0
HOU,240,42,85,0.494,8,29,0.276,23,29,0.793,10,30,40,33,2,6,12,27,115,,DAL,240,42,89,0.472,12,34,0.353,25,29,0.862,9,29,38,25,5,4,7,25,121,,2023-11-28,0.0
DAL,240,42,89,0.472,12,34,0.353,25,29,0.862,9,29,38,25,5,4,7,25,121,,HOU,240,42,85,0.494,8,29,0.276,23,29,0.793,10,30,40,33,2,6,12,27,115,,2023-11-28,1.0
GSW,240,40,83,0.482,17,41,0.415,26,30,0.867,9,43,52,25,6,6,18,31,123,,SAC,240,41,91,0.451,15,44,0.341,27,42,0.643,12,34,46,25,8,7,10,23,124,,2023-11-28,0.0
SAC,240,41,91,0.451,15,44,0.341,27,42,0.643,12,34,46,25,8,7,10,23,124,,GSW,240,40,83,0.482,17,41,0.415,26,30,0.867,9,43,52,25,6,6,18,31,123,,2023-11-28,1.0
LAL,240,45,88,0.511,12,34,0.353,31,38,0.816,8,41,49,28,7,10,12,12,133,,DET,240,40,97,0.412,15,36,0.417,12,14,0.857,10,29,39,28,8,3,14,31,107,,2023-11-29,1.0
DET,240,40,97,0.412,15,36,0.417,12,14,0.857,10,29,39,28,8,3,14,31,107,,LAL,240,45,88,0.511,12,34,0.353,31,38,0.816,8,41,49,28,7,10,12,12,133,,2023-11-29,0.0
WAS,240,41,87,0.471,11,29,0.379,27,35,0.771,7,22,29,28,14,3,10,20,120,,ORL,240,51,84,0.607,17,27,0.63,20,24,0.833,9,35,44,34,5,6,18,22,139,,2023-11-29,0.0
ORL,240,51,84,0.607,17,27,0.63,20,24,0.833,9,35,44,34,5,6,18,22,139,,WAS,240,41,87,0.471,11,29,0.379,27,35,0.771,7,22,29,28,14,3,10,20,120,,2023-11-29,1.0
PHO,240,38,94,0.404,7,26,0.269,22,23,0.957,12,35,47,25,3,5,9,15,105,,TOR,240,42,93,0.452,10,27,0.37,18,21,0.857,15,34,49,25,7,5,9,22,112,,2023-11-29,0.0
TOR,240,42,93,0.452,10,27,0.37,18,21,0.857,15,34,49,25,7,5,9,22,112,,PHO,240,38,94,0.404,7,26,0.269,22,23,0.957,12,35,47,25,3,5,9,15,105,,2023-11-29,1.0
UTA,240,34,90,0.378,16,39,0.41,7,12,0.583,12,27,39,26,8,8,17,14,91,,MEM,240,43,87,0.494,13,39,0.333,6,8,0.75,12,39,51,26,9,10,15,15,105,,2023-11-29,0.0
MEM,240,43,87,0.494,13,39,0.333,6,8,0.75,12,39,51,26,9,10,15,15,105,,UTA,240,34,90,0.378,16,39,0.41,7,12,0.583,12,27,39,26,8,8,17,14,91,,2023-11-29,1.0
PHI,240,42,81,0.519,14,34,0.412,16,18,0.889,8,22,30,28,8,7,21,26,114,,NOP,240,42,78,0.538,10,30,0.333,30,34,0.882,13,27,40,33,11,4,20,22,124,,2023-11-29,0.0
NOP,240,42,78,0.538,10,30,0.333,30,34,0.882,13,27,40,33,11,4,20,22,124,,PHI,240,42,81,0.519,14,34,0.412,16,18,0.889,8,22,30,28,8,7,21,26,114,,2023-11-29,1.0
HOU,240,47,86,0.547,16,41,0.39,14,19,0.737,8,27,35,27,3,5,8,20,124,,DEN,240,48,95,0.505,19,43,0.442,19,26,0.731,13,28,41,37,4,2,3,18,134,,2023-11-29,0.0
DEN,240,48,95,0.505,19,43,0.442,19,26,0.731,13,28,41,37,4,2,3,18,134,,HOU,240,47,86,0.547,16,41,0.39,14,19,0.737,8,27,35,27,3,5,8,20,124,,2023-11-29,1.0
LAC,240,50,93,0.538,14,28,0.5,17,22,0.773,8,29,37,28,8,5,4,20,131,,SAC,240,40,86,0.465,13,41,0.317,24,28,0.857,13,34,47,22,1,1,14,20,117,,2023-11-29,1.0
SAC,240,40,86,0.465,13,41,0.317,24,28,0.857,13,34,47,22,1,1,14,20,117,,LAC,240,50,93,0.538,14,28,0.5,17,22,0.773,8,29,37,28,8,5,4,20,131,,2023-11-29,0.0
POR,240,39,77,0.506,14,35,0.4,11,11,1.0,9,31,40,29,10,4,22,17,103,,CLE,240,38,89,0.427,7,32,0.219,12,12,1.0,14,21,35,25,12,2,17,15,95,,2023-11-30,1.0
CLE,240,38,89,0.427,7,32,0.219,12,12,1.0,14,21,35,25,12,2,17,15,95,,POR,240,39,77,0.506,14,35,0.4,11,11,1.0,9,31,40,29,10,4,22,17,103,,2023-11-30,0.0
CHO,240,46,91,0.505,21,36,0.583,16,16,1.0,13,28,41,30,6,7,9,16,129,,BRK,240,52,105,0.495,14,36,0.389,10,15,0.667,22,30,52,21,6,4,9,11,128,,2023-11-30,1.0
BRK,240,52,105,0.495,14,36,0.389,10,15,0.667,22,30,52,21,6,4,9,11,128,,CHO,240,46,91,0.505,21,36,0.583,16,16,1.0,13,28,41,30,6,7,9,16,129,,2023-11-30,0.0
IND,240,50,98,0.51,11,43,0.256,21,32,0.656,10,24,34,30,11,5,9,31,132,,MIA,240,48,86,0.558,8,21,0.381,38,45,0.844,10,38,48,25,4,1,14,28,142,,2023-11-30,0.0
MIA,240,48,86,0.558,8,21,0.381,38,45,0.844,10,38,48,25,4,1,14,28,142,,IND,240,50,98,0.51,11,43,0.256,21,32,0.656,10,24,34,30,11,5,9,31,132,,2023-11-30,1.0
DET,240,43,81,0.531,15,35,0.429,11,17,0.647,8,34,42,22,4,3,20,25,112,,NYK,240,41,88,0.466,16,41,0.39,20,28,0.714,12,29,41,25,8,3,11,17,118,,2023-11-30,0.0
NYK,240,41,88,0.466,16,41,0.39,20,28,0.714,12,29,41,25,8,3,11,17,118,,DET,240,43,81,0.531,15,35,0.429,11,17,0.647,8,34,42,22,4,3,20,25,112,,2023-11-30,1.0
MIL,265,44,98,0.449,16,48,0.333,9,13,0.692,9,34,43,28,12,6,20,21,113,,CHI,265,45,98,0.459,13,37,0.351,17,22,0.773,14,37,51,32,14,4,21,18,120,,2023-11-30,0.0
CHI,265,45,98,0.459,13,37,0.351,17,22,0.773,14,37,51,32,14,4,21,18,120,,MIL,265,44,98,0.449,16,48,0.333,9,13,0.692,9,34,43,28,12,6,20,21,113,,2023-11-30,1.0
UTA,240,33,87,0.379,11,34,0.324,13,14,0.929,13,38,51,22,6,4,19,19,90,,MIN,240,39,89,0.438,13,35,0.371,10,13,0.769,10,32,42,29,13,7,11,16,101,,2023-11-30,0.0
MIN,240,39,89,0.438,13,35,0.371,10,13,0.769,10,32,42,29,13,7,11,16,101,,UTA,240,33,87,0.379,11,34,0.324,13,14,0.929,13,38,51,22,6,4,19,19,90,,2023-11-30,1.0
LAL,240,36,81,0.444,11,33,0.333,27,32,0.844,7,34,41,24,6,2,13,20,110,,OKC,240,50,94,0.532,14,42,0.333,19,22,0.864,8,40,48,29,9,6,7,24,133,,2023-11-30,0.0
OKC,240,50,94,0.532,14,42,0.333,19,22,0.864,8,40,48,29,9,6,7,24,133,,LAL,240,36,81,0.444,11,33,0.333,27,32,0.844,7,34,41,24,6,2,13,20,110,,2023-11-30,1.0
ATL,240,49,96,0.51,14,33,0.424,25,29,0.862,8,29,37,24,14,2,10,25,137,,SAS,240,48,89,0.539,18,41,0.439,21,23,0.913,11,36,47,34,4,7,21,22,135,,2023-11-30,1.0
SAS,240,48,89,0.539,18,41,0.439,21,23,0.913,11,36,47,34,4,7,21,22,135,,ATL,240,49,96,0.51,14,33,0.424,25,29,0.862,8,29,37,24,14,2,10,25,137,,2023-11-30,0.0
LAC,240,42,95,0.442,12,32,0.375,18,24,0.75,15,28,43,26,5,1,6,21,114,,GSW,240,41,82,0.5,15,39,0.385,23,31,0.742,10,37,47,30,3,4,7,18,120,,2023-11-30,0.0
GSW,240,41,82,0.5,15,39,0.385,23,31,0.742,10,37,47,30,3,4,7,18,120,,LAC,240,42,95,0.442,12,32,0.375,18,24,0.75,15,28,43,26,5,1,6,21,114,,2023-11-30,1.0
WAS,240,45,89,0.506,13,28,0.464,22,31,0.71,8,32,40,25,8,5,14,29,125,,ORL,240,46,89,0.517,12,31,0.387,26,33,0.788,10,34,44,35,6,8,14,23,130,,2023-12-01,0.0
ORL,240,46,89,0.517,12,31,0.387,26,33,0.788,10,34,44,35,6,8,14,23,130,,WAS,240,45,89,0.506,13,28,0.464,22,31,0.71,8,32,40,25,8,5,14,29,125,,2023-12-01,1.0
PHI,240,43,94,0.457,16,35,0.457,17,23,0.739,15,27,42,16,16,5,16,24,119,,BOS,240,39,77,0.506,16,33,0.485,31,36,0.861,10,36,46,25,10,8,20,18,125,,2023-12-01,0.0
BOS,240,39,77,0.506,16,33,0.485,31,36,0.861,10,36,46,25,10,8,20,18,125,,PHI,240,43,94,0.457,16,35,0.457,17,23,0.739,15,27,42,16,16,5,16,24,119,,2023-12-01,1.0
MEM,240,44,90,0.489,11,34,0.324,9,11,0.818,13,39,52,27,8,12,14,23,108,,DAL,240,34,92,0.37,12,39,0.308,14,21,0.667,13,29,42,27,9,5,11,13,94,,2023-12-01,1.0
DAL,240,34,92,0.37,12,39,0.308,14,21,0.667,13,29,42,27,9,5,11,13,94,,MEM,240,44,90,0.489,11,34,0.324,9,11,0.818,13,39,52,27,8,12,14,23,108,,2023-12-01,0.0
NYK,240,45,90,0.5,16,36,0.444,13,16,0.813,11,32,43,30,6,3,12,15,119,,TOR,240,44,100,0.44,6,32,0.188,12,17,0.706,19,29,48,32,7,6,12,19,106,,2023-12-01,1.0
TOR,240,44,100,0.44,6,32,0.188,12,17,0.706,19,29,48,32,7,6,12,19,106,,NYK,240,45,90,0.5,16,36,0.444,13,16,0.813,11,32,43,30,6,3,12,15,119,,2023-12-01,0.0
SAS,240,38,83,0.458,16,39,0.41,14,17,0.824,8,31,39,28,5,5,19,21,106,,NOP,240,42,85,0.494,10,31,0.323,27,29,0.931,10,32,42,26,8,6,11,15,121,,2023-12-01,0.0
NOP,240,42,85,0.494,10,31,0.323,27,29,0.931,10,32,42,26,8,6,11,15,121,,SAS,240,38,83,0.458,16,39,0.41,14,17,0.824,8,31,39,28,5,5,19,21,106,,2023-12-01,1.0
DEN,240,50,88,0.568,12,32,0.375,7,12,0.583,4,28,32,38,8,4,9,21,119,,PHO,240,39,84,0.464,9,27,0.333,24,26,0.923,8,35,43,22,4,9,12,17,111,,2023-12-01,1.0
PHO,240,39,84,0.464,9,27,0.333,24,26,0.923,8,35,43,22,4,9,12,17,111,,DEN,240,50,88,0.568,12,32,0.375,7,12,0.583,4,28,32,38,8,4,9,21,119,,2023-12-01,0.0
GSW,240,38,86,0.442,17,43,0.395,19,24,0.792,6,36,42,31,5,4,13,15,112,,LAC,240,44,90,0.489,13,39,0.333,12,14,0.857,5,35,40,31,5,6,11,21,113,,2023-12-02,0.0
LAC,240,44,90,0.489,13,39,0.333,12,14,0.857,5,35,40,31,5,6,11,21,113,,GSW,240,38,86,0.442,17,43,0.395,19,24,0.792,6,36,42,31,5,4,13,15,112,,2023-12-02,1.0
MIN,240,43,84,0.512,11,31,0.355,26,30,0.867,10,31,41,26,5,3,11,16,123,,CHO,240,44,91,0.484,12,25,0.48,17,19,0.895,10,26,36,29,6,4,8,22,117,,2023-12-02,1.0
CHO,240,44,91,0.484,12,25,0.48,17,19,0.895,10,26,36,29,6,4,8,22,117,,MIN,240,43,84,0.512,11,31,0.355,26,30,0.867,10,31,41,26,5,3,11,16,123,,2023-12-02,0.0
ORL,240,35,88,0.398,9,29,0.31,22,27,0.815,8,29,37,24,3,5,11,27,101,,BRK,240,46,91,0.505,14,34,0.412,23,31,0.742,14,43,57,31,4,8,11,21,129,,2023-12-02,0.0
BRK,240,46,91,0.505,14,34,0.412,23,31,0.742,14,43,57,31,4,8,11,21,129,,ORL,240,35,88,0.398,9,29,0.31,22,27,0.815,8,29,37,24,3,5,11,27,101,,2023-12-02,1.0
CLE,240,44,89,0.494,10,30,0.333,12,18,0.667,8,35,43,25,11,1,11,18,110,,DET,240,39,83,0.47,8,30,0.267,15,23,0.652,10,39,49,24,9,3,16,20,101,,2023-12-02,1.0
DET,240,39,83,0.47,8,30,0.267,15,23,0.652,10,39,49,24,9,3,16,20,101,,CLE,240,44,89,0.494,10,30,0.333,12,18,0.667,8,35,43,25,11,1,11,18,110,,2023-12-02,0.0
NOP,240,41,82,0.5,8,25,0.32,28,35,0.8,13,26,39,20,10,1,12,17,118,,CHI,240,48,88,0.545,17,40,0.425,11,15,0.733,12,29,41,32,6,8,13,21,124,,2023-12-02,0.0
CHI,240,48,88,0.545,17,40,0.425,11,15,0.733,12,29,41,32,6,8,13,21,124,,NOP,240,41,82,0.5,8,25,0.32,28,35,0.8,13,26,39,20,10,1,12,17,118,,2023-12-02,1.0
IND,240,56,85,0.659,16,32,0.5,16,20,0.8,3,29,32,35,4,8,9,24,144,,MIA,240,48,89,0.539,12,25,0.48,21,24,0.875,6,22,28,27,3,1,10,22,129,,2023-12-02,1.0
MIA,240,48,89,0.539,12,25,0.48,21,24,0.875,6,22,28,27,3,1,10,22,129,,IND,240,56,85,0.659,16,32,0.5,16,20,0.8,3,29,32,35,4,8,9,24,144,,2023-12-02,0.0
ATL,240,45,101,0.446,15,38,0.395,16,21,0.762,15,25,40,23,11,4,11,14,121,,MIL,240,53,89,0.596,14,33,0.424,12,15,0.8,8,36,44,33,5,6,15,19,132,,2023-12-02,0.0
MIL,240,53,89,0.596,14,33,0.424,12,15,0.8,8,36,44,33,5,6,15,19,132,,ATL,240,45,101,0.446,15,38,0.395,16,21,0.762,15,25,40,23,11,4,11,14,121,,2023-12-02,1.0
OKC,240,44,100,0.44,20,44,0.455,18,22,0.818,16,34,50,24,8,5,12,24,126,,DAL,240,39,87,0.448,19,52,0.365,23,35,0.657,15,32,47,26,5,12,15,21,120,,2023-12-02,1.0
DAL,240,39,87,0.448,19,52,0.365,23,35,0.657,15,32,47,26,5,12,15,21,120,,OKC,240,44,100,0.44,20,44,0.455,18,22,0.818,16,34,50,24,8,5,12,24,126,,2023-12-02,0.0
MEM,240,39,86,0.453,9,31,0.29,22,24,0.917,8,32,40,14,9,8,15,31,109,,PHO,240,36,83,0.434,9,26,0.346,35,43,0.814,12,32,44,24,10,5,16,21,116,,2023-12-02,0.0
PHO,240,36,83,0.434,9,26,0.346,35,43,0.814,12,32,44,24,10,5,16,21,116,,MEM,240,39,86,0.453,9,31,0.29,22,24,0.917,8,32,40,14,9,8,15,31,109,,2023-12-02,1.0
POR,265,38,95,0.4,13,40,0.325,24,27,0.889,11,29,40,17,11,5,9,20,113,,UTA,265,46,94,0.489,7,34,0.206,19,24,0.792,16,40,56,27,5,11,17,21,118,,2023-12-02,0.0
UTA,265,46,94,0.489,7,34,0.206,19,24,0.792,16,40,56,27,5,11,17,21,118,,POR,265,38,95,0.4,13,40,0.325,24,27,0.889,11,29,40,17,11,5,9,20,113,,2023-12-02,1.0
DEN,240,49,99,0.495,6,25,0.24,13,20,0.65,8,38,46,35,9,7,10,14,117,,SAC,240,48,99,0.485,16,34,0.471,11,15,0.733,9,38,47,33,7,5,11,14,123,,2023-12-02,0.0
SAC,240,48,99,0.485,16,34,0.471,11,15,0.733,9,38,47,33,7,5,11,14,123,,DEN,240,49,99,0.495,6,25,0.24,13,20,0.65,8,38,46,35,9,7,10,14,117,,2023-12-02,1.0
HOU,240,36,89,0.404,11,31,0.355,14,18,0.778,11,43,54,24,5,7,16,23,97,,LAL,240,40,89,0.449,8,27,0.296,19,27,0.704,9,39,48,24,11,7,9,17,107,,2023-12-02,0.0
LAL,240,40,89,0.449,8,27,0.296,19,27,0.704,9,39,48,24,11,7,9,17,107,,HOU,240,36,89,0.404,11,31,0.355,14,18,0.778,11,43,54,24,5,7,16,23,97,,2023-12-02,1.0
BOS,240,46,97,0.474,12,41,0.293,8,12,0.667,13,43,56,27,5,9,17,19,112,,IND,240,43,94,0.457,19,40,0.475,17,21,0.81,7,34,41,28,8,4,6,15,122,,2023-12-04,0.0
IND,240,43,94,0.457,19,40,0.475,17,21,0.81,7,34,41,28,8,4,6,15,122,,BOS,240,46,97,0.474,12,41,0.293,8,12,0.667,13,43,56,27,5,9,17,19,112,,2023-12-04,1.0
NOP,240,47,87,0.54,14,31,0.452,19,23,0.826,13,29,42,29,12,7,12,22,127,,SAC,240,38,85,0.447,14,41,0.341,27,33,0.818,11,27,38,29,8,2,13,18,117,,2023-12-04,1.0
SAC,240,38,85,0.447,14,41,0.341,27,33,0.818,11,27,38,29,8,2,13,18,117,,NOP,240,47,87,0.54,14,31,0.452,19,23,0.826,13,29,42,29,12,7,12,22,127,,2023-12-04,0.0
NYK,240,43,87,0.494,7,23,0.304,29,33,0.879,12,24,36,27,8,4,16,17,122,,MIL,240,55,91,0.604,23,38,0.605,13,19,0.684,12,25,37,32,12,6,12,23,146,,2023-12-05,0.0
MIL,240,55,91,0.604,23,38,0.605,13,19,0.684,12,25,37,32,12,6,12,23,146,,NYK,240,43,87,0.494,7,23,0.304,29,33,0.879,12,24,36,27,8,4,16,17,122,,2023-12-05,1.0
PHO,240,37,75,0.493,12,25,0.48,17,21,0.81,8,36,44,25,8,5,20,21,103,,LAL,240,38,102,0.373,9,30,0.3,21,25,0.84,21,24,45,24,11,2,9,19,106,,2023-12-05,0.0
LAL,240,38,102,0.373,9,30,0.3,21,25,0.84,21,24,45,24,11,2,9,19,106,,PHO,240,37,75,0.493,12,25,0.48,17,21,0.81,8,36,44,25,8,5,20,21,103,,2023-12-05,1.0
ORL,240,41,84,0.488,2,23,0.087,27,37,0.73,7,29,36,22,10,6,11,21,111,,CLE,240,46,86,0.535,14,34,0.412,15,20,0.75,10,35,45,29,5,2,15,27,121,,2023-12-06,0.0
CLE,240,46,86,0.535,14,34,0.412,15,20,0.75,10,35,45,29,5,2,15,27,121,,ORL,240,41,84,0.488,2,23,0.087,27,37,0.73,7,29,36,22,10,6,11,21,111,,2023-12-06,1.0
MEM,240,47,91,0.516,11,26,0.423,11,14,0.786,9,37,46,26,10,8,14,9,116,,DET,240,41,91,0.451,11,35,0.314,9,9,1.0,8,34,42,30,9,6,16,17,102,,2023-12-06,1.0
DET,240,41,91,0.451,11,35,0.314,9,9,1.0,8,34,42,30,9,6,16,17,102,,MEM,240,47,91,0.516,11,26,0.423,11,14,0.786,9,37,46,26,10,8,14,9,116,,2023-12-06,0.0
PHI,240,47,92,0.511,8,27,0.296,29,34,0.853,11,32,43,29,7,2,11,14,131,,WAS,240,52,92,0.565,14,35,0.4,8,8,1.0,2,30,32,39,8,6,11,22,126,,2023-12-06,1.0
WAS,240,52,92,0.565,14,35,0.4,8,8,1.0,2,30,32,39,8,6,11,22,126,,PHI,240,47,92,0.511,8,27,0.296,29,34,0.853,11,32,43,29,7,2,11,14,131,,2023-12-06,0.0
BRK,240,43,94,0.457,11,27,0.407,17,24,0.708,12,33,45,24,7,6,12,19,114,,ATL,240,42,94,0.447,12,35,0.343,17,18,0.944,11,38,49,25,5,4,12,23,113,,2023-12-06,1.0
ATL,240,42,94,0.447,12,35,0.343,17,18,0.944,11,38,49,25,5,4,12,23,113,,BRK,240,43,94,0.457,11,27,0.407,17,24,0.708,12,33,45,24,7,6,12,19,114,,2023-12-06,0.0
SAS,240,38,101,0.376,8,36,0.222,10,15,0.667,13,36,49,23,7,4,11,17,94,,MIN,240,36,87,0.414,12,40,0.3,18,21,0.857,11,44,55,20,4,10,14,16,102,,2023-12-06,0.0
